Time	UTC	GPS_lat(deg)	GPS_long(deg)	GVF:error	DATALINK_REPORT:downlink_ovrn	DATALINK_REPORT:uplink_rate	DATALINK_REPORT:downlink_rate	DATALINK_REPORT:downlink_nb_msgs	DATALINK_REPORT:uplink_nb_msgs	DATALINK_REPORT:uplink_lost_time	ENERGY:voltage	ENERGY:throttle	PPRZ_MODE:ap_mode	NAVIGATION:oval_count	NAVIGATION:circle_count	NAVIGATION:kill_auto_throttle	NAVIGATION:stage_time	NAVIGATION:block_time	NAVIGATION:flight_time	NAVIGATION:dist_home	NAVIGATION:dist_wp	NAVIGATION:pos_y	NAVIGATION:pos_x	NAVIGATION:cur_stage	NAVIGATION:cur_block	GPS:utm_north	GPS:utm_east	GPS:mode
719.065	06:38:38.065	37.298355722	-3.683359800	-0.665815	0	14	10145	11416	126	0	12.06075	36	1	0	0	0	1	1	11	134.3	0.	134.2	-3.8	2	4	412818964	43943534	3
719.315	06:38:38.315	37.298366733	-3.683404242	-0.665815	0	14	10145	11416	126	0	12.06075	36	1	0	0	0	1	1	11	134.3	0.	134.2	-3.8	2	4	412819089	43943141	3
719.565	06:38:38.565	37.298375303	-3.683449790	-0.665815	0	14	10145	11416	126	0	12.06075	36	1	0	0	0	3	3	12	142.2	0.	141.	-18.6	2	4	412819187	43942738	3
719.815	06:38:38.815	37.298380802	-3.683496552	-0.665815	0	14	10145	11416	126	0	12.06075	36	1	0	0	0	3	3	12	142.2	0.	141.	-18.6	2	4	412819251	43942324	3
720.065	06:38:39.065	37.298383234	-3.683543624	-0.665815	0	14	10145	11416	126	0	12.08549	35	1	0	0	0	3	3	12	142.2	0.	141.	-18.6	2	4	412819281	43941907	3
720.315	06:38:39.315	37.298383140	-3.683591124	-0.665815	0	14	10145	11416	126	0	12.08549	35	1	0	0	0	3	3	12	142.2	0.	141.	-18.6	2	4	412819283	43941486	3
720.565	06:38:39.565	37.298379526	-3.683639383	-0.665815	0	14	10145	11416	126	0	12.08549	35	1	0	0	0	4	4	13	147.3	0.	143.	-35.1	2	4	412819246	43941058	3
720.815	06:38:39.815	37.298372939	-3.683687389	-0.665815	0	14	10145	11416	126	0	12.08549	35	1	0	0	0	4	4	13	147.3	0.	143.	-35.1	2	4	412819176	43940632	3
721.065	06:38:40.065	37.298363289	-3.683735142	-0.665815	0	14	10145	11416	126	0	12.079305	35	1	0	0	0	4	4	13	147.3	0.	143.	-35.1	2	4	412819072	43940208	3
721.315	06:38:40.315	37.298363289	-3.683735142	-0.665815	0	14	10145	11416	126	0	12.079305	35	1	0	0	0	4	4	13	147.3	0.	143.	-35.1	2	4	412819072	43940208	3
721.565	06:38:40.565	37.298350668	-3.683782190	-0.665815	0	14	10145	11416	126	0	12.079305	35	1	0	0	0	5	5	14	148.9	0.	139.5	-52.1	2	4	412818935	43939790	3
721.815	06:38:40.815	37.298315894	-3.683872591	-0.665815	0	14	10145	11416	126	0	12.079305	35	1	0	0	0	5	5	14	148.9	0.	139.5	-52.1	2	4	412818555	43938986	3
722.065	06:38:41.065	37.298294466	-3.683915046	-0.867059	0	14	10145	11416	126	0	12.079305	35	1	0	0	0	5	5	14	148.9	0.	139.5	-52.1	2	4	412818320	43938608	3
