Time	UTC	GPS_lat(deg)	GPS_long(deg)	GVF:omega	GVF:omega_d	GVF:t_norm	GVF:n_norm	GVF:error	GVF:phi	DATALINK_REPORT:downlink_ovrn	DATALINK_REPORT:uplink_rate	DATALINK_REPORT:downlink_rate	DATALINK_REPORT:downlink_nb_msgs	DATALINK_REPORT:uplink_nb_msgs	DATALINK_REPORT:uplink_lost_time	ENERGY:voltage	ENERGY:throttle	PPRZ_MODE:ap_mode	NAVIGATION:oval_count	NAVIGATION:circle_count	NAVIGATION:kill_auto_throttle	NAVIGATION:stage_time	NAVIGATION:block_time	NAVIGATION:flight_time	NAVIGATION:dist_home	NAVIGATION:dist_wp	NAVIGATION:pos_y	NAVIGATION:pos_x	NAVIGATION:cur_stage	NAVIGATION:cur_block	GPS:utm_north	GPS:utm_east	GPS:mode
36.163	10:56:46.163	37.296160636	-3.682977092	-0.536628	-0.060492	0.061303	0.324178	6.610128	6.610128	0	0	444	0	7	4	12.6	100	2	0	0	0	16	16	13	144.2	113.6	-143.5	-20.4	3	3	412794587	43946750	3
36.413	10:56:46.413	37.296165767	-3.683025089	-0.5339	-0.061334	0.060563	0.31142	6.427551	6.427551	0	0	444	0	7	4	12.6	100	2	0	0	0	16	16	13	144.2	113.6	-143.5	-20.4	3	3	412794647	43946325	3
36.663	10:56:46.663	37.296175536	-3.683097387	-0.519204	-0.059076	0.060127	0.304052	6.320993	6.320993	0	0	444	0	7	4	12.6	40	2	0	0	0	16	16	13	144.2	113.6	-143.5	-20.4	3	3	412794760	43945685	3
36.913	10:56:46.913	37.296184456	-3.683144855	-0.501394	-0.056171	0.059593	0.295171	6.191412	6.191412	0	0	444	0	7	4	12.6	40	2	0	0	0	16	16	13	144.2	113.6	-143.5	-20.4	3	3	412794862	43945265	3
37.163	10:56:47.163	37.296201002	-3.683214167	-0.470839	-0.05102	0.058714	0.280929	5.980873	5.980873	0	0	444	0	7	4	12.6	40	2	0	0	0	1	1	14	144.7	0.	-139.2	-41.4	2	4	412795050	43944652	3
37.413	10:56:47.413	37.296214264	-3.683258854	-0.449515	-0.047321	0.05811	0.271403	5.838079	5.838079	0	0	444	0	7	4	12.6	40	2	0	0	0	1	1	14	144.7	0.	-139.2	-41.4	2	4	412795200	43944257	3
37.663	10:56:47.663	37.296237149	-3.683323146	-0.41396	-0.041128	0.057183	0.257172	5.621644	5.621644	0	0	444	0	7	4	12.6	38	2	0	0	0	1	1	14	144.7	0.	-139.2	-41.4	2	4	412795458	43943689	3
37.913	10:56:47.913	37.296254219	-3.683364031	-0.374835	-0.034332	0.056179	0.242294	5.391103	5.391103	0	0	444	0	7	4	12.6	38	2	0	0	0	1	1	14	144.7	0.	-139.2	-41.4	2	4	412795650	43943328	3
38.163	10:56:48.163	37.296282548	-3.683422055	-0.345986	-0.029359	0.055471	0.23213	5.230914	5.230914	0	0	444	0	7	4	12.6	38	2	0	0	0	3	3	15	143.1	0.	-130.2	-60.2	2	4	412795968	43942816	3
38.413	10:56:48.413	37.296303070	-3.683458345	-0.31574	-0.024155	0.05478	0.222476	5.076615	5.076615	0	0	444	0	7	4	12.6	38	2	0	0	0	3	3	15	143.1	0.	-130.2	-60.2	2	4	412796198	43942496	3
38.663	10:56:48.663	37.296336128	-3.683509191	-0.26665	-0.015747	0.053678	0.207617	4.834756	4.834756	0	0	444	0	7	4	12.6	38	2	0	0	0	3	3	15	143.1	0.	-130.2	-60.2	2	4	412796568	43942048	3
38.913	10:56:48.913	37.296359473	-3.683540429	-0.21397	-0.006782	0.052611	0.193814	4.604934	4.604934	0	0	444	0	7	4	12.6	38	2	0	0	0	3	3	15	143.1	0.	-130.2	-60.2	2	4	412796829	43941773	3
39.163	10:56:49.163	37.296396273	-3.683583298	-0.178086	-0.000584	0.051791	0.18362	4.43173	4.43173	0	0	444	0	7	4	12.6	38	2	0	0	0	4	4	16	139.5	0.	-118.	-74.8	2	4	412797240	43941396	3
39.413	10:56:49.413	37.296421630	-3.683609478	-0.145199	0.005138	0.051044	0.174616	4.276116	4.276116	0	0	848	0	8	4	12.6	38	2	0	0	0	4	4	16	139.5	0.	-118.	-74.8	2	4	412797523	43941166	3
39.663	10:56:49.663	37.296460543	-3.683645371	-0.101228	0.01301	0.049908	0.161459	4.043913	4.043913	0	0	848	0	8	4	12.6	38	2	0	0	0	4	4	16	139.5	0.	-118.	-74.8	2	4	412797957	43940851	3
39.913	10:56:49.913	37.296486826	-3.683667384	-0.063753	0.020107	0.048727	0.148445	3.808058	3.808058	0	0	848	0	8	4	12.6	37	2	0	0	0	4	4	16	139.5	0.	-118.	-74.8	2	4	412798250	43940658	3
40.163	10:56:50.163	37.296526310	-3.683698092	-0.042709	0.02434	0.047946	0.140197	3.655088	3.655088	0	0	848	0	8	4	12.6	37	2	0	0	0	5	5	17	133.8	0.	-103.8	-85.2	2	4	412798690	43940389	3
40.413	10:56:50.413	37.296552609	-3.683717285	-0.025206	0.027994	0.047232	0.132907	3.517423	3.517423	0	0	848	0	8	4	12.6	37	2	0	0	0	5	5	17	133.8	0.	-103.8	-85.2	2	4	412798983	43940221	3
40.663	10:56:50.663	37.296591843	-3.683744380	-0.001633	0.033377	0.046076	0.121611	3.299164	3.299164	0	0	848	0	8	4	12.6	37	2	0	0	0	5	5	17	133.8	0.	-103.8	-85.2	2	4	412799420	43939984	3
40.913	10:56:50.913	37.296617612	-3.683761876	0.016536	0.037966	0.044989	0.111525	3.098662	3.098662	0	0	848	0	8	4	12.6	36	2	0	0	0	5	5	17	133.8	0.	-103.8	-85.2	2	4	412799707	43939831	3
41.163	10:56:51.163	37.296655865	-3.683787044	0.026858	0.040796	0.044289	0.105305	2.97209	2.97209	0	0	848	0	8	4	12.6	36	2	0	0	0	6	6	18	128.5	0.	-89.	-93.2	2	4	412800133	43939611	3
41.413	10:56:51.413	37.296680919	-3.683803406	0.036948	0.043797	0.04353	0.098795	2.83702	2.83702	0	0	848	0	8	4	12.6	36	2	0	0	0	6	6	18	128.5	0.	-89.	-93.2	2	4	412800412	43939468	3
41.663	10:56:51.663	37.296718006	-3.683827548	0.047646	0.047371	0.042518	0.090506	2.660803	2.660803	0	0	848	0	8	4	12.6	36	2	0	0	0	6	6	18	128.5	0.	-89.	-93.2	2	4	412800825	43939257	3
41.913	10:56:51.913	37.296742252	-3.683843450	0.056531	0.050709	0.041513	0.082683	2.489691	2.489691	0	0	848	0	8	4	12.6	36	2	0	0	0	6	6	18	128.5	0.	-89.	-93.2	2	4	412801095	43939118	3
42.163	10:56:52.163	37.296777900	-3.683867128	0.062513	0.053029	0.040825	0.07757	2.375058	2.375058	0	0	848	0	8	4	12.6	36	2	0	0	0	7	7	19	124.8	0.	-75.2	-100.2	2	4	412801492	43938911	3
42.413	10:56:52.413	37.296801245	-3.683882797	0.066402	0.054828	0.040202	0.073095	2.272761	2.272761	0	0	848	0	8	4	12.6	36	2	0	0	0	7	7	19	124.8	0.	-75.2	-100.2	2	4	412801752	43938774	3
42.663	10:56:52.663	37.296835451	-3.683906462	0.0735	0.057855	0.03921	0.066289	2.113275	2.113275	0	0	848	0	8	4	12.6	36	2	0	0	0	7	7	19	124.8	0.	-75.2	-100.2	2	4	412802133	43938567	3
42.913	10:56:52.913	37.296857804	-3.683922235	0.075006	0.058969	0.038655	0.062647	2.025822	2.025822	0	0	848	0	8	4	12.6	36	2	0	0	0	7	7	19	124.8	0.	-75.2	-100.2	2	4	412802382	43938429	3
43.163	10:56:53.163	37.296890567	-3.683946112	0.079541	0.061118	0.037737	0.056868	1.883724	1.883724	0	0	848	0	8	4	12.6	37	2	0	0	0	9	9	20	123.3	0.	-62.8	-107.1	2	4	412802747	43938220	3
43.413	10:56:53.413	37.296911927	-3.683962102	0.082164	0.062479	0.036887	0.051801	1.755389	1.755389	0	0	848	0	8	4	12.6	37	2	0	0	0	9	9	20	123.3	0.	-62.8	-107.1	2	4	412802985	43938080	3
43.663	10:56:53.663	37.296943335	-3.683986419	0.082806	0.062958	0.036346	0.048709	1.675156	1.675156	0	0	848	0	8	4	12.6	37	2	0	0	0	9	9	20	123.3	0.	-62.8	-107.1	2	4	412803335	43937867	3
43.913	10:56:53.913	37.296963702	-3.684002737	0.083269	0.063205	0.03581	0.045743	1.596724	1.596724	0	0	848	0	8	4	12.6	37	2	0	0	0	9	9	20	123.3	0.	-62.8	-107.1	2	4	412803562	43937724	3
44.163	10:56:54.163	37.296993755	-3.684027493	0.085476	0.06354	0.034982	0.041363	1.478014	1.478014	0	0	848	0	8	4	12.6	37	2	0	0	0	10	10	21	124.1	0.	-51.2	-114.2	2	4	412803897	43937507	3
44.413	10:56:54.413	37.297013218	-3.684044255	0.084415	0.062561	0.034226	0.037572	1.372183	1.372183	0	0	1073	0	9	4	12.6	37	2	0	0	0	10	10	21	124.1	0.	-51.2	-114.2	2	4	412804114	43937360	3
44.663	10:56:54.663	37.297041826	-3.684069562	0.084265	0.061692	0.033709	0.035085	1.30103	1.30103	0	0	1073	0	9	4	12.6	37	2	0	0	0	10	10	21	124.1	0.	-51.2	-114.2	2	4	412804433	43937138	3
44.913	10:56:54.913	37.297060567	-3.684086543	0.081991	0.060071	0.033259	0.032991	1.239934	1.239934	0	0	1073	0	9	4	12.6	37	2	0	0	0	10	10	21	124.1	0.	-51.2	-114.2	2	4	412804642	43936989	3
45.163	10:56:55.163	37.297087819	-3.684112402	0.077787	0.056916	0.032594	0.030021	1.151321	1.151321	0	0	1073	0	9	4	12.6	37	2	0	0	0	11	11	22	127.1	0.	-40.8	-121.6	2	4	412804946	43936762	3
45.413	10:56:55.413	37.297105746	-3.684129827	0.073338	0.053057	0.031943	0.027246	1.066216	1.066216	0	0	1073	0	9	4	12.6	38	2	0	0	0	11	11	22	127.1	0.	-40.8	-121.6	2	4	412805146	43936609	3
45.663	10:56:55.663	37.297131824	-3.684156126	0.069943	0.050018	0.031518	0.025508	1.01165	1.01165	0	0	1073	0	9	4	12.6	38	2	0	0	0	11	11	22	127.1	0.	-40.8	-121.6	2	4	412805437	43936378	3
45.913	10:56:55.913	37.297148938	-3.684173883	0.065061	0.04657	0.031158	0.024078	0.965966	0.965966	0	0	1073	0	9	4	12.6	38	2	0	0	0	11	11	22	127.1	0.	-40.8	-121.6	2	4	412805628	43936222	3
46.163	10:56:56.163	37.297173932	-3.684200624	0.05896	0.040749	0.030546	0.021736	0.88946	0.88946	0	0	1073	0	9	4	12.6	38	2	0	0	0	12	12	23	131.7	0.	-30.8	-129.4	2	4	412805907	43935987	3
46.413	10:56:56.413	37.297190323	-3.684218599	0.049787	0.034423	0.03007	0.019989	0.830959	0.830959	0	0	1073	0	9	4	12.6	38	2	0	0	0	12	12	23	131.7	0.	-30.8	-129.4	2	4	412806090	43935829	3
46.663	10:56:56.663	37.297214504	-3.684245671	0.045228	0.029762	0.029685	0.018628	0.784418	0.784418	0	0	1073	0	9	4	12.6	38	2	0	0	0	12	12	23	131.7	0.	-30.8	-129.4	2	4	412806360	43935591	3
46.913	10:56:56.913	37.297230354	-3.684263754	0.037186	0.025056	0.029426	0.017737	0.753449	0.753449	0	0	1073	0	9	4	12.6	38	2	0	0	0	12	12	23	131.7	0.	-30.8	-129.4	2	4	412806537	43935432	3
47.163	10:56:57.163	37.297253633	-3.684290931	0.027111	0.017795	0.028995	0.016292	0.702387	0.702387	0	0	1073	0	9	4	12.6	38	2	0	0	0	13	13	24	137.7	0.	-21.8	-137.3	2	4	412806797	43935193	3
47.413	10:56:57.413	37.297269031	-3.684309123	0.020264	0.010579	0.028521	0.014768	0.647236	0.647236	0	0	1073	0	9	4	12.6	38	2	0	0	0	13	13	24	137.7	0.	-21.8	-137.3	2	4	412806969	43935033	3
47.663	10:56:57.663	37.297291859	-3.684336296	0.014626	0.00563	0.02824	0.013891	0.614887	0.614887	0	0	1073	0	9	4	12.6	39	2	0	0	0	13	13	24	137.7	0.	-21.8	-137.3	2	4	412807224	43934794	3
47.913	10:56:57.913	37.297306808	-3.684354371	0.010219	0.000908	0.02796	0.013041	0.583042	0.583042	0	0	1073	0	9	4	12.6	39	2	0	0	0	13	13	24	137.7	0.	-21.8	-137.3	2	4	412807391	43934635	3
48.163	10:56:58.163	37.297329096	-3.684381426	0.002122	-0.006105	0.027596	0.011968	0.542098	0.542098	0	0	1073	0	9	4	12.6	39	2	0	0	0	15	15	25	144.5	0.	-13.5	-145.2	2	4	412807640	43934397	3
