Time	UTC	GPS_lat(deg)	GPS_long(deg)	GVF:ke	GVF:s	GVF:traj	GVF:omega	GVF:omega_d	GVF:t_norm	GVF:n_norm	GVF:error	GVF:phi	NAVIGATION:block_time	NAVIGATION:flight_time	NAVIGATION:dist_home	NAVIGATION:dist_wp	NAVIGATION:pos_y	NAVIGATION:pos_x	NAVIGATION:cur_stage	NAVIGATION:cur_block
1592.819	08:31:10.819	37.297153466	-3.683093481	0.8	1	1	0.660534	0.13692	0.03496	0.041252	1.47496	1.47496	14	0	47.	47.4	-36.2	-31.2	3	3
1593.069	08:31:11.069	37.297202725	-3.683101599	0.8	1	1	0.750878	0.192049	0.034285	0.037858	1.380291	1.380291	0	1	41.9	0.	-27.5	-32.7	2	4
1593.319	08:31:11.319	37.297236061	-3.683104157	0.8	1	1	0.791515	0.221977	0.033476	0.033991	1.269257	1.269257	0	1	41.9	0.	-27.5	-32.7	2	4
1593.569	08:31:11.569	37.297236061	-3.683104157	0.8	1	1	0.826304	0.241144	0.032664	0.030328	1.160597	1.160597	0	1	41.9	0.	-27.5	-32.7	2	4
1593.819	08:31:11.819	37.297270210	-3.683106496	0.8	1	1	0.861775	0.266805	0.031834	0.026794	1.052094	1.052094	0	1	41.9	0.	-27.5	-32.7	2	4
1594.069	08:31:12.069	37.297305360	-3.683107153	0.8	1	1	0.89067	0.292086	0.031008	0.023491	0.946992	0.946992	1	2	34.5	0.	-12.	-33.2	2	4
1594.319	08:31:12.319	37.297342039	-3.683108387	0.8	1	1	0.918371	0.318408	0.030155	0.020297	0.841372	0.841372	1	2	34.5	0.	-12.	-33.2	2	4
1594.569	08:31:12.569	37.297380527	-3.683108509	0.8	1	1	0.923122	0.32598	0.029306	0.017328	0.739109	0.739109	1	2	34.5	0.	-12.	-33.2	2	4
1594.819	08:31:12.819	37.297418923	-3.683109082	0.8	1	1	0.919154	0.331672	0.028431	0.014484	0.636827	0.636827	1	2	34.5	0.	-12.	-33.2	2	4
1595.069	08:31:13.069	37.297457231	-3.683109090	0.8	1	1	0.910291	0.334588	0.027683	0.012221	0.551824	0.551824	3	3	32.9	0.	5.	-33.	2	4
1595.319	08:31:13.319	37.297533137	-3.683107520	0.8	1	1	0.897105	0.339832	0.026893	0.009996	0.464597	0.464597	3	3	32.9	0.	5.	-33.	2	4
1595.569	08:31:13.569	37.297570724	-3.683107522	0.8	1	1	0.879579	0.347122	0.026123	0.00798	0.381831	0.381831	3	3	32.9	0.	5.	-33.	2	4
1595.819	08:31:13.819	37.297570724	-3.683107522	0.8	1	1	0.849961	0.344284	0.025421	0.006277	0.308628	0.308628	3	3	32.9	0.	5.	-33.	2	4
