Time	UTC	GPS_lat(deg)	GPS_long(deg)	GVF:ke	GVF:s	GVF:omega	GVF:omega_d	GVF:t_norm	GVF:n_norm	GVF:error	GVF:phi	DATALINK_REPORT:downlink_ovrn	DATALINK_REPORT:uplink_rate	DATALINK_REPORT:downlink_rate	DATALINK_REPORT:downlink_nb_msgs	DATALINK_REPORT:uplink_nb_msgs	DATALINK_REPORT:uplink_lost_time	NAVIGATION:block_time	NAVIGATION:flight_time	NAVIGATION:dist_home	NAVIGATION:pos_y	NAVIGATION:pos_x	NAVIGATION:cur_block	GPS:speed	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
149.374	09:48:1.374	37.298704872	-3.682836605	0.8	1	-0.797586	-0.215885	0.023611	0.007437	0.393716	0.393716	0	0	544	2492	28	3	0	13	181.1	178.2	32.	4	1223	0.218111	0.64489	0.532752
149.624	09:48:1.624	37.298720807	-3.682808767	0.8	1	-0.808706	-0.21868	0.024177	0.008923	0.461346	0.461346	0	0	571	2680	30	3	0	13	181.1	178.2	32.	4	1203	0.228896	0.811287	0.476594
149.874	09:48:1.874	37.298734318	-3.682779102	0.8	1	-0.813248	-0.21976	0.024772	0.010584	0.534073	0.534073	0	0	571	2680	30	3	0	13	181.1	178.2	32.	4	1203	0.228896	0.811287	0.476594
150.124	09:48:2.124	37.298745315	-3.682747947	0.8	1	-0.816395	-0.219152	0.025314	0.01219	0.601958	0.601958	0	0	571	2680	30	3	0	13	181.1	178.2	32.	4	1208	0.225362	1.049291	0.495892
150.374	09:48:2.374	37.298753705	-3.682715415	0.8	1	-0.814498	-0.214949	0.025876	0.013952	0.673983	0.673983	0	0	571	2680	30	3	1	14	188.2	183.2	42.8	4	1208	0.225362	1.049291	0.495892
150.624	09:48:2.624	37.298759757	-3.682681846	0.8	1	-0.811814	-0.211893	0.026428	0.015773	0.746046	0.746046	0	0	571	2680	30	3	1	14	188.2	183.2	42.8	4	1226	0.189577	1.270898	0.485048
150.874	09:48:2.874	37.298763291	-3.682647465	0.8	1	-0.80439	-0.204896	0.026927	0.017506	0.812642	0.812642	0	0	571	2680	30	3	1	14	188.2	183.2	42.8	4	1231	0.189577	1.270898	0.485048
151.124	09:48:3.124	37.298763853	-3.682612492	0.8	1	-0.794825	-0.198687	0.027436	0.019354	0.881791	0.881791	0	0	571	2680	30	3	1	14	188.2	183.2	42.8	4	1258	0.188945	1.518536	0.566769
151.374	09:48:3.374	37.298760633	-3.682576922	0.8	1	-0.778499	-0.190422	0.027861	0.020964	0.940564	0.940564	0	0	571	2680	30	3	3	15	192.1	184.	55.	4	1285	0.188945	1.518536	0.566769
151.624	09:48:3.624	37.298753538	-3.682541203	0.8	1	-0.759646	-0.182601	0.028268	0.022564	0.997765	0.997765	0	0	571	2680	30	3	3	15	192.1	184.	55.	4	1325	0.162386	1.806856	0.579877
151.874	09:48:3.874	37.298742746	-3.682505677	0.8	1	-0.739914	-0.175578	0.028631	0.024035	1.049349	1.049349	0	0	571	2680	30	3	3	15	192.1	184.	55.	4	1373	0.162386	1.806856	0.579877
